1.000000000000000000e+00 1.000000000000000000e+00 7.821180246913580270e+00
1.000000000000000000e+00 4.000000000000000000e+00 7.830400000000000027e+00
1.000000000000000000e+00 7.000000000000000000e+00 7.833254320987654395e+00
1.000000000000000000e+00 1.000000000000000000e+01 7.834622222222222376e+00
4.000000000000000000e+00 1.000000000000000000e+00 7.566162962962962979e+00
4.000000000000000000e+00 4.000000000000000000e+00 7.235283950617284354e+00
4.000000000000000000e+00 7.000000000000000000e+00 7.213812345679012417e+00
4.000000000000000000e+00 1.000000000000000000e+01 7.220627160493827468e+00
7.000000000000000000e+00 1.000000000000000000e+00 6.915037037037037315e+00
7.000000000000000000e+00 4.000000000000000000e+00 6.277175308641975704e+00
7.000000000000000000e+00 7.000000000000000000e+00 6.263382716049382459e+00
7.000000000000000000e+00 1.000000000000000000e+01 6.287614814814815212e+00
1.000000000000000000e+01 1.000000000000000000e+00 6.188582716049382704e+00
1.000000000000000000e+01 4.000000000000000000e+00 5.400488888888888894e+00
1.000000000000000000e+01 7.000000000000000000e+00 5.408804938271605245e+00
1.000000000000000000e+01 1.000000000000000000e+01 5.459555555555555273e+00
